,spec_id,partial,model_name,lr,update_num,aupr,category,n_classes
23,105.6,1.0,google/bigbird-roberta-base,5e-06,600,0.0785650109100244,Deal Protection and Related Provisions,58
24,105.7,1.0,google/bigbird-roberta-base,5e-06,400,0.22934472934472935,Deal Protection and Related Provisions,60
25,105.8,1.0,google/bigbird-roberta-base,1e-05,800,0.9025902718879567,Deal Protection and Related Provisions,51
26,105.9,1.0,google/bigbird-roberta-base,5e-05,600,0.8626066243091864,Deal Protection and Related Provisions,52
27,106,1.0,google/bigbird-roberta-base,5e-06,200,0.6909025849737923,Deal Protection and Related Provisions,25
28,107.0,1.0,google/bigbird-roberta-base,1e-05,600,0.5618637595391981,Deal Protection and Related Provisions,57
29,107.1,1.0,google/bigbird-roberta-base,5e-06,200,0.73061405384724,Deal Protection and Related Provisions,47
30,107.2,1.0,google/bigbird-roberta-base,1e-05,200,0.7242175805485305,Deal Protection and Related Provisions,46
31,107.3,1.0,google/bigbird-roberta-base,1e-05,800,0.7471649858216578,Deal Protection and Related Provisions,42
32,108,1.0,google/bigbird-roberta-base,5e-05,600,0.26661763089299323,Deal Protection and Related Provisions,25
33,109,1.0,google/bigbird-roberta-base,1e-05,600,0.9964305428786272,Deal Protection and Related Provisions,162
