,partial,model_name,spec_id,update_num,lr,aupr,n_classes,category
122,1.0,nlpaueb/legal-bert-base-uncased,8,400,0.0001,0.2553503276831153,4,Conditions to Closing
123,1.0,nlpaueb/legal-bert-base-uncased,80,400,3e-05,0.7429238882113308,10,Deal Protection and Related Provisions
124,1.0,nlpaueb/legal-bert-base-uncased,81,100,0.0001,0.23269922706197213,2,Deal Protection and Related Provisions
125,1.0,nlpaueb/legal-bert-base-uncased,82,400,3e-05,0.8320328019113552,9,Deal Protection and Related Provisions
126,1.0,nlpaueb/legal-bert-base-uncased,84,400,3e-05,0.9256471893764611,7,Deal Protection and Related Provisions
127,1.0,nlpaueb/legal-bert-base-uncased,85,200,0.0001,0.27261339946995566,7,Deal Protection and Related Provisions
128,1.0,nlpaueb/legal-bert-base-uncased,86,400,1e-05,0.4978955453149001,2,Deal Protection and Related Provisions
129,1.0,nlpaueb/legal-bert-base-uncased,88,300,3e-05,0.7819772493975565,4,Deal Protection and Related Provisions
130,1.0,nlpaueb/legal-bert-base-uncased,89,400,1e-05,0.6478378539431953,4,Deal Protection and Related Provisions
131,1.0,nlpaueb/legal-bert-base-uncased,9,400,1e-05,0.5450393795814609,3,Conditions to Closing
132,1.0,nlpaueb/legal-bert-base-uncased,90,300,0.0001,0.4951183091102446,2,Deal Protection and Related Provisions
133,1.0,nlpaueb/legal-bert-base-uncased,92,300,0.0001,0.4110758014719506,4,Deal Protection and Related Provisions
134,1.0,nlpaueb/legal-bert-base-uncased,93,200,1e-05,0.9999999999999997,2,Deal Protection and Related Provisions
135,1.0,nlpaueb/legal-bert-base-uncased,94,400,3e-05,0.7295486266995939,2,Deal Protection and Related Provisions
136,1.0,nlpaueb/legal-bert-base-uncased,95,400,3e-05,0.6601190476190476,2,Deal Protection and Related Provisions
137,1.0,nlpaueb/legal-bert-base-uncased,97,200,1e-05,1.0,2,Deal Protection and Related Provisions
138,1.0,nlpaueb/legal-bert-base-uncased,99.0,400,3e-05,0.6524107131249989,2,Deal Protection and Related Provisions
139,1.0,nlpaueb/legal-bert-base-uncased,99.1,300,0.0001,0.5236782175097116,2,Deal Protection and Related Provisions
140,1.0,nlpaueb/legal-bert-base-uncased,99.2,400,1e-05,0.7248491584239626,2,Deal Protection and Related Provisions
141,1.0,nlpaueb/legal-bert-base-uncased,99.3,200,0.0001,0.5318729820007734,2,Deal Protection and Related Provisions
142,1.0,nlpaueb/legal-bert-base-uncased,99.4,400,3e-05,0.7296337044703058,2,Deal Protection and Related Provisions
143,1.0,nlpaueb/legal-bert-base-uncased,99.5,200,0.0001,0.31666666666666665,2,Deal Protection and Related Provisions
